A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
-0.003463957,0,-0.00930826,0.006110144,0.00206548,0.00455024,0.01289078,-0.021405112,0.00608559,-0.039072202
0.006054073,0.010969031,-0.001683852,0.004255447,0.000701693,-0.007872734,0.011742469,-0.020756086,-0.026435457,-0.018686632
0.001723024,-0.018349139,-0.000832038,0.002423825,-0.002437275,-0.018831492,-0.0662175,0.017202681,0.010997027,0.001750803
0.000430293,0.021978907,0.008550043,-0.001707275,0.001775981,0.006917024,0.018601478,0.01793883,0.017570565,-0.015647958
0.006432269,0,0.015259575,-0.001598683,-0.003464639,-0.001522922,-0.010761944,-0.028036502,-0.017056229,-0.027088092
0.008300569,-0.014598799,-0.001648346,-0.004426086,0.000659006,-0.00528468,0.002852311,0.001117419,0.027203651,0.017217473
-0.007019065,0.021819047,-0.013937057,0.010424497,0.008689958,0.015105028,0.063252418,0.012198426,0.037630678,0.029469127
0.003622034,0,-0.001674259,0.007487371,0.001871074,0.022677388,0.047175746,0.026033566,-0.004694489,0.040846429
-0.005117282,-0.003603608,-0.019203051,0.00087114,0.001917226,-0.005383415,-0.02778892,-0.002601316,-0.019201644,-0.018760006
-0.006864034,0,0,-0.000163875,-0.003455757,-0.008385518,0.006192795,-0.00313444,0,0
0.007932296,-0.00361664,-0.000776734,-0.006058274,-0.002740185,0.001635935,0.008742785,-0.006773579,3.82E-05,0.009789972
-0.005997019,0,-0.007711204,0.007690565,-0.000994572,-0.002485564,0.008963953,0.050862964,0.027945589,0.023584554
0.009620598,0,0.008621031,-0.004629372,-0.000828055,0.019735995,0.074794686,0.007186725,-0.021169448,-0.047364931
0.013105239,0.010810916,0.007315031,-0.000436579,0.005851541,0.012239422,0.007037132,0.019784204,0.016339446,-0.024670983
0.00794817,0.010695289,0.010666242,-0.005474612,0.008194521,-0.002290709,-0.014769993,-0.018888364,0.020013875,0.058185278
-0.003757049,-0.007117468,-0.00673256,0.010594252,-0.004439062,0.021681777,0.020842736,0.026921132,0.008027279,-0.032035223
0.003548694,0.010657294,0.016531459,0.000868622,0.0149439,0.011392334,-0.024038664,0.017650513,0.005670648,-0.010307852
0.008507158,-0.021429391,0.015965413,0.002493418,0.004208799,-0.005173758,-0.013272056,-0.007422636,-0.005406601,0.041273801
0.011503824,0.003603608,0.002120892,-0.009137717,-0.000724767,0.0087675,-0.002732483,0.026120447,0.014440512,-0.05927661
-0.000817327,0,-0.006269613,0.000929258,0.007433397,0.038312398,0.055295214,0.06912999,0,-0.00788252
-0.007592116,0.024868067,0.011741901,0.012099337,0.00360841,-0.019253271,-0.034295754,-0.024237341,-0.023803421,0.04586084
-0.002268276,-0.014134511,-0.010420953,0.002531095,-0.00950839,-0.0315762,-0.035345857,-0.06434132,-0.015659826,-0.111870441
-0.004552046,-0.036235848,0.005859267,-0.008317968,-0.001107704,-0.016216836,-0.013490445,-0.021849054,0.026477274,-0.042386986
-0.003948057,-0.01113184,-0.02189189,-0.002499428,-0.002170191,-0.006558224,-0.022654299,-0.024589166,0.018293603,-0.035607964
-0.006475218,0.054459917,-0.013504888,0.001251235,0.00332147,-0.05049682,-0.08613888,0.030377884,-0.051717797,-0.091482208
0.010630637,0.02097979,0.01825344,-0.01345117,-0.013844502,0,0,-0.047877787,0.040347987,-0.002253522
-0.000347769,-0.007641579,0.053853816,-0.00292197,-0.004446693,0,0,0.005759356,0.000311083,0.204743255
-0.008827933,-0.006997929,-0.016879836,0.001930899,0.006466813,0,0,0.014327562,-0.068644566,-0.016438726
0.015994615,-0.006340282,0.004860422,-0.008911686,-0.018532206,0,0,-0.099457595,0.009494113,-0.074088562
-0.008686714,-0.003539827,-0.011297678,0.004493343,0.005723312,0.006206638,0.008177538,-0.005690895,-0.031007946,0.01346394
0.011154836,-0.003552402,0.017186467,-0.013764508,-0.008573648,-0.018812879,-0.005464012,-0.025490889,-0.01261785,0.010412074
0.006756091,-0.021583572,0.01467318,-0.002922827,0.007077449,-0.02264477,-0.038614947,-0.042509219,0.004851034,-0.072389775
0.001630989,0.010850016,0.00300983,0.00258577,0.012916757,-0.001059752,-0.006212556,-0.017268432,-0.016265101,-0.029722157
-0.026629709,0.010733556,-0.024067543,0.017416512,0.000798712,-0.000564742,-0.031504219,0.013016855,0.034268803,0.038171212
0.001045478,-0.021583572,0,0.002148966,-0.002102964,0,0,-0.014928016,-0.028769419,0
-0.004188488,-0.007299302,-0.00573958,0.000879973,-0.008241979,0.004021909,0.010808697,0.000513664,-0.020778543,0.065492511
0.008359505,0.014545711,-0.009751693,0.001209901,0.004092042,-0.017150127,-0.031055494,-0.023784129,-0.003769473,-0.070811673
0.00124792,0,0.016338022,-0.00098865,-0.009991775,-0.011211899,-0.017541411,0.000316926,-0.018913324,0.010301248
0.010339215,0.021429391,0.017192049,0.000109128,0.00527395,-0.01512384,-0.03352082,-0.018471462,-0.007621871,-0.042919926
0.002875926,-0.017825784,-6.09E-05,0.003895479,0.000540595,-0.004838978,-0.000816986,-0.003206625,0.009687563,-0.000350038
-0.007205384,0.007168489,-0.008928085,5.48E-05,-0.001456346,0.019463593,0.053734566,0.03122526,0.003533812,0.019198517
0.000413138,-0.021661497,0.003760325,0.008615111,0.003334034,-0.002767038,-0.012236284,0.002009744,-0.023932751,-0.04839935
-0.005591813,-0.00732604,-0.006589877,-0.009162791,-0.000166966,0.006932004,0.023144067,0.003589055,0.010235215,0.003177488
-0.009180119,-0.007380107,0.007833392,-5.48E-05,-0.007359552,-0.012153009,-0.036633161,0.002057509,0.001991276,0.009478744
-0.002938709,-0.01492565,-0.012670335,0.004429338,0.003320062,0.008091311,0.012717324,-0.001779715,-0.016526477,-0.007658493
0.006913194,-0.022814678,0.01916848,-0.004100784,0.000872421,-0.016803389,-0.042219427,-0.028998924,-0.006052136,0.027357856
0.005828493,-0.003853569,0.012771052,-0.001863418,0.002041703,0.003085167,0.006309449,-0.012987376,-0.020660439,0.027886708
0,0,-0.006415419,-0.015151645,-0.015432005,-0.007366563,-0.036181562,-0.014546208,-0.013732957,-0.002283792
-0.006663915,0.007692346,0,0.001225702,-0.003524308,-0.003835128,-0.014205805,0.009263233,0.037651842,0.030351528
0.002087248,0.007633625,0.002510924,-0.003511458,0.002989855,0.000949002,0.02190431,0.011360845,-0.022187117,-0.03346829
0.00644292,0.029964789,0.010000982,-0.007455781,-0.009838923,0.00567075,-0.007066384,-0.014697998,-0.001660308,-0.01177954
0.012967147,0.011009286,0.001904989,-0.013993463,-0.000162503,-8.45E-05,0.001671214,-0.025796166,-0.03421239,0.06046199
0.002246962,0.049832374,0.025020393,0.000455807,-0.005712311,-0.017480019,-0.042244669,-0.021941551,-0.012726486,-0.002760699
-0.002656044,-0.028170877,-0.003292343,0.004154187,-0.000524048,0.003176744,-0.003806771,0.001423307,0.006152272,-0.00250313
0.001635323,-0.021661497,0.001802448,0.006001763,0.003477846,-0.011404181,-0.013451208,0.002477802,0.000157642,-0.005236267
0.004483399,-0.022141126,-0.001046187,-0.004299675,-0.002064801,-0.00525647,-0.014695363,-0.012381452,-0.012761743,0.013268438
-0.002850745,0,-0.01694873,-0.003350013,-0.008653339,0.003956208,0.012594321,-0.004727638,0.036120228,0.005433079
-0.005315899,-0.003738322,-0.00331767,-0.00456159,-0.001041501,0.003872844,0.026909398,-0.000894223,0.008275411,-0.012965126
